date,state,cases,deaths
2020-04-28,NY,295137,17638
2020-04-28,TX,26865,738
2020-04-29,NY,299722,18015
2020-04-29,TX,27836,776
2020-04-30,NY,304401,18321
2020-04-30,TX,29072,828
2020-05-01,NY,308345,18610
2020-05-01,TX,30339,853
2020-05-02,NY,313008,18909
2020-05-02,TX,31430,875
2020-05-03,NY,316446,19189
2020-05-03,TX,32296,890
2020-05-04,NY,318984,19415
2020-05-04,TX,33131,914
2020-05-05,NY,321276,19645
2020-05-05,TX,34283,955
2020-05-06,NY,329405,25956
2020-05-06,TX,35438,985
